Ref,Val,T12,fpeak,gain,fimg,img,fhimg,himg
C101,37.065,3,448000000,10.72992404,348000000,65.89419309,398000000,37.85665578
C101,38.06,3,448000000,10.72992405,348000000,65.89419307,398000000,37.85665578
C101,39.055,3,448000000,10.72992406,348000000,65.89419306,398000000,37.85665577
C101,40.05,3,448000000,10.72992406,348000000,65.89419304,398000000,37.85665577
C101,41.045,3,448000000,10.72992407,348000000,65.89419302,398000000,37.85665577
C101,42.04,3,448000000,10.72992408,348000000,65.89419301,398000000,37.85665576
C101,43.035,3,448000000,10.72992408,348000000,65.89419299,398000000,37.85665576
C101,44.03,3,448000000,10.72992409,348000000,65.89419298,398000000,37.85665575
C101,45.025,3,448000000,10.72992409,348000000,65.89419296,398000000,37.85665575
C101,46.02,3,448000000,10.7299241,348000000,65.89419295,398000000,37.85665575
C101,47.015,3,448000000,10.7299241,348000000,65.89419294,398000000,37.85665574
C101,48.01,3,448000000,10.72992411,348000000,65.89419293,398000000,37.85665574
C101,49.005,3,448000000,10.72992411,348000000,65.89419291,398000000,37.85665574
C101,50,3,448000000,10.72992412,348000000,65.8941929,398000000,37.85665573
C101,0.25,4,476000000,7.286542526,376000000,54.64959215,426000000,37.43589486
C101,1.245,4,476000000,7.286560145,376000000,54.64949799,426000000,37.43585673
C101,2.24,4,476000000,7.286562111,376000000,54.64948749,426000000,37.43585247
C101,3.235,4,476000000,7.286562868,376000000,54.64948344,426000000,37.43585083
C101,4.23,4,476000000,7.286563269,376000000,54.6494813,426000000,37.43584997
C101,5.225,4,476000000,7.286563517,376000000,54.64947997,426000000,37.43584943
C101,6.22,4,476000000,7.286563686,376000000,54.64947907,426000000,37.43584906
C101,7.215,4,476000000,7.286563808,376000000,54.64947842,426000000,37.4358488
C101,8.21,4,476000000,7.2865639,376000000,54.64947793,426000000,37.4358486
C101,9.205,4,476000000,7.286563973,376000000,54.64947754,426000000,37.43584844
C101,10.2,4,476000000,7.286564031,376000000,54.64947723,426000000,37.43584831
C101,11.195,4,476000000,7.286564079,376000000,54.64947697,426000000,37.43584821
