,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
282,26.82,5.82,27.3,2.2,424000000,12.832238409859,324000000,79.493869653363
283,26.82,5.82,27.3,2.3,427000000,12.62238619028,327000000,77.465461379821
284,26.82,5.82,27.3,2.4,430000000,12.403028057552,330000000,75.608879207664
285,26.82,5.82,27.3,2.5,433000000,12.173006909324,333000000,73.893038834739
286,26.82,5.82,27.3,2.6,435000000,11.944599192478,335000000,71.361880648482
288,26.82,5.94,26.7,2.2,428000000,12.213408500769,328000000,82.361928713182
289,26.82,5.94,26.7,2.3,431000000,12.002898993917,331000000,79.896784796601
290,26.82,5.94,26.7,2.4,434000000,11.782407511359,334000000,77.696349759462
291,26.82,5.94,26.7,2.5,437000000,11.551078179687,337000000,75.704567856636
292,26.82,5.94,26.7,2.6,440000000,11.3078382104,340000000,73.880656156507
294,26.82,5.94,26.82,2.2,427000000,12.355297140179,327000000,81.294904598611
295,26.82,5.94,26.82,2.3,430000000,12.144933598873,330000000,78.986432800913
296,26.82,5.94,26.82,2.4,433000000,11.92489504171,333000000,76.907573851887
297,26.82,5.94,26.82,2.5,436000000,11.694268955238,336000000,75.01237766521
298,26.82,5.94,26.82,2.6,439000000,11.451930434841,339000000,73.266663466647
300,26.82,5.94,26.94,2.2,426000000,12.498958178373,326000000,80.379304965303
301,26.82,5.94,26.94,2.3,429000000,12.288581591292,329000000,78.198862033504
302,26.82,5.94,26.94,2.4,432000000,12.06880863258,332000000,76.220992434162
303,26.82,5.94,26.94,2.5,435000000,11.838666853162,335000000,74.407072963689
304,26.82,5.94,26.94,2.6,438000000,11.596977425467,338000000,72.727833639976
306,26.82,5.94,27.06,2.2,425000000,12.644677959475,325000000,79.585666964744
307,26.82,5.94,27.06,2.3,428000000,12.434165162791,328000000,77.5121550201
308,26.82,5.94,27.06,2.4,431000000,12.214505174005,331000000,75.61975436308
309,26.82,5.94,27.06,2.5,434000000,11.984661050474,334000000,73.875335343304
310,26.82,5.94,27.06,2.6,437000000,11.743396813691,337000000,72.253392399885
312,26.82,5.94,27.18,2.2,424000000,12.792683242826,324000000,78.892514815547
313,26.82,5.94,27.18,2.3,427000000,12.581956700467,327000000,76.909970797712
314,26.82,5.94,27.18,2.4,430000000,12.36230177857,330000000,75.091060505913
315,26.82,5.94,27.18,2.5,433000000,12.132611008889,333000000,73.406896067101
316,26.82,5.94,27.18,2.6,436000000,11.891586413672,336000000,71.834932777781
318,26.82,5.94,27.3,2.2,423000000,12.943113716646,323000000,78.283738829171
319,26.82,5.94,27.3,2.3,426000000,12.732154291899,326000000,76.379806011604
320,26.82,5.94,27.3,2.4,429000000,12.512454331725,329000000,74.624960966349
321,26.82,5.94,27.3,2.5,432000000,12.282828061568,332000000,72.993672468714
322,26.82,5.94,27.3,2.6,435000000,12.041908765719,335000000,71.465774475224
