,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
434,26.94,5.7,26.7,1.2,399000000,13.608579230697,299000000,93.101308767897
435,26.94,5.7,26.7,1.3,402000000,13.502979847358,302000000,97.795983331745
436,26.94,5.7,26.7,1.4,405000000,13.380568466834,305000000,103.876734157964
438,26.94,5.7,26.82,1,391000000,13.939781474738,291000000,91.263736558878
439,26.94,5.7,26.82,1.1,395000000,13.859150347739,295000000,91.695895232986
440,26.94,5.7,26.82,1.2,398000000,13.766724095257,298000000,95.861131921282
441,26.94,5.7,26.82,1.3,401000000,13.655384274432,301000000,101.215984730305
442,26.94,5.7,26.82,1.4,404000000,13.528344686379,304000000,108.19559271594
444,26.94,5.7,26.94,1,391000000,14.102745745862,291000000,90.511253758372
445,26.94,5.7,26.94,1.1,394000000,14.02470070283,294000000,94.26570158897
446,26.94,5.7,26.94,1.2,397000000,13.925284446411,297000000,98.994854207705
447,26.94,5.7,26.94,1.3,400000000,13.808156716568,300000000,105.229577110276
448,26.94,5.7,26.94,1.4,403000000,13.676472640318,303000000,113.187888724924
450,26.94,5.7,27.06,1,390000000,14.276875810701,290000000,92.919799000757
451,26.94,5.7,27.06,1.1,393000000,14.190494088784,293000000,97.15527706277
452,26.94,5.7,27.06,1.2,396000000,14.084024702206,296000000,102.644114250001
453,26.94,5.7,27.06,1.3,399000000,13.961092432598,299000000,110.03536061139
454,26.94,5.7,27.06,1.4,402000000,13.824780111795,302000000,117.805956120305
456,26.94,5.7,27.18,1,389000000,14.45094712024,289000000,95.600860615476
457,26.94,5.7,27.18,1.1,392000000,14.356131017759,292000000,100.482381481482
458,26.94,5.7,27.18,1.2,395000000,14.242576439886,295000000,107.016115825016
459,26.94,5.7,27.18,1.3,398000000,14.113856555784,298000000,115.352791008154
460,26.94,5.7,27.18,1.4,401000000,13.972968018536,301000000,117.952598687386
462,26.94,5.7,27.3,1,388000000,14.624352049512,288000000,98.649667444729
463,26.94,5.7,27.3,1.1,391000000,14.521034359317,291000000,104.430483338339
464,26.94,5.7,27.3,1.2,394000000,14.400396633824,294000000,112.195799628893
465,26.94,5.7,27.3,1.3,397000000,14.265943163962,297000000,117.867770010442
466,26.94,5.7,27.3,1.4,400000000,14.120570423718,300000000,114.796108424718
468,26.94,5.82,26.7,1,391000000,13.94551270619,291000000,92.271822663733
469,26.94,5.82,26.7,1.1,395000000,13.841098459017,295000000,92.776216637835
470,26.94,5.82,26.7,1.2,398000000,13.750157635439,298000000,97.305337992839
471,26.94,5.82,26.7,1.3,401000000,13.638765124811,301000000,103.217807563578
472,26.94,5.82,26.7,1.4,404000000,13.510399615472,304000000,110.293885113271
474,26.94,5.82,26.82,1,390000000,14.097712496885,290000000,94.767403555638
