,Val1,Val2,Val3,VTUNE12,fpeak,gain,fimg,img
433,5.94,26.7,1.7,1.1,396000000,14.850494806166,296000000,91.773073422281
434,5.94,26.7,1.7,1.2,399000000,14.724822235048,299000000,95.413683669994
435,5.94,26.7,1.7,1.3,402000000,14.571966658202,302000000,99.983617835949
436,5.94,26.7,1.7,1.4,405000000,14.397542895485,305000000,105.915307409645
438,5.94,26.7,1.82,1,392000000,14.628978217029,292000000,90.536244910265
439,5.94,26.7,1.82,1.1,395000000,14.535620426532,295000000,94.082582348854
440,5.94,26.7,1.82,1.2,398000000,14.413426727705,298000000,98.509396192347
441,5.94,26.7,1.82,1.3,401000000,14.267813164455,301000000,104.283653902562
442,5.94,26.7,1.82,1.4,404000000,14.103600511398,304000000,111.394231237143
444,5.94,26.7,1.94,1,391000000,14.296239809717,291000000,92.681402042581
445,5.94,26.7,1.94,1.1,394000000,14.202715500316,294000000,96.936946501229
446,5.94,26.7,1.94,1.2,397000000,14.084336050305,297000000,102.473588025439
447,5.94,26.7,1.94,1.3,400000000,13.945809480986,300000000,109.710142082141
448,5.94,26.7,1.94,1.4,403000000,13.791265115317,303000000,114.862937224947
450,5.94,26.7,2.06,1,390000000,13.951245994533,290000000,95.30264349075
451,5.94,26.7,2.06,1.1,393000000,13.858372142972,293000000,100.552650420293
452,5.94,26.7,2.06,1.2,396000000,13.744100892572,296000000,107.604175567919
453,5.94,26.7,2.06,1.3,399000000,13.61251242904,299000000,114.46534318383
454,5.94,26.7,2.06,1.4,403000000,13.470067047135,303000000,114.013807606855
456,5.94,26.7,2.18,1,389000000,13.599110086054,289000000,98.577665034902
457,5.94,26.7,2.18,1.1,392000000,13.507590605375,292000000,105.244532789132
458,5.94,26.7,2.18,1.2,395000000,13.397665337227,295000000,113.262104926917
459,5.94,26.7,2.18,1.3,399000000,13.274271309721,299000000,113.628620577331
460,5.94,26.7,2.18,1.4,402000000,13.164985988134,302000000,113.600993501724
462,5.94,26.7,2.3,1,388000000,13.243722820459,288000000,102.783482479672
463,5.94,26.7,2.3,1.1,391000000,13.154146430049,291000000,111.092984583485
464,5.94,26.7,2.3,1.2,394000000,13.048747255641,294000000,115.529511191861
465,5.94,26.7,2.3,1.3,398000000,12.956185265762,298000000,114.340060106122
466,5.94,26.7,2.3,1.4,401000000,12.850548674348,301000000,109.135325898875
468,5.94,26.82,1.7,1,392000000,15.1743050919,292000000,90.830757024209
469,5.94,26.82,1.7,1.1,395000000,15.066032416419,295000000,94.136434116931
470,5.94,26.82,1.7,1.2,398000000,14.926199769195,298000000,98.196904869571
471,5.94,26.82,1.7,1.3,401000000,14.761173205298,301000000,103.410725495155
472,5.94,26.82,1.7,1.4,404000000,14.576590397727,304000000,110.251880080394
474,5.94,26.82,1.82,1,391000000,14.833267717371,291000000,92.796745036064
475,5.94,26.82,1.82,1.1,394000000,14.726866559901,294000000,96.730352259235
476,5.94,26.82,1.82,1.2,397000000,14.593320482308,297000000,101.754344141189
477,5.94,26.82,1.82,1.3,400000000,14.438106868169,300000000,108.439377309154
478,5.94,26.82,1.82,1.4,403000000,14.266016196482,303000000,115.987758340322
480,5.94,26.82,1.94,1,390000000,14.477249026958,290000000,95.191366046112
