,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
549,26.94,6.06,26.82,3.5,463000000,8.8705801350856,363000000,59.7005697809186
550,26.94,6.06,26.82,3.6,466000000,8.5117222940273,366000000,58.7102215507743
552,26.94,6.06,26.94,3.2,454000000,10.062979281577,354000000,63.347481880853
553,26.94,6.06,26.94,3.3,457000000,9.7285605670781,357000000,62.2373828384551
554,26.94,6.06,26.94,3.4,459000000,9.387389942067,359000000,60.567343991264
555,26.94,6.06,26.94,3.5,462000000,9.0461941507162,362000000,59.5617424211362
556,26.94,6.06,26.94,3.6,465000000,8.6868315812935,365000000,58.5790509095205
558,26.94,6.06,27.06,3.2,453000000,10.223683978964,353000000,63.153932722072
559,26.94,6.06,27.06,3.3,456000000,9.8904415081621,356000000,62.0584764072411
560,26.94,6.06,27.06,3.4,458000000,9.5589943050985,358000000,60.4380718869535
561,26.94,6.06,27.06,3.5,461000000,9.2196162227064,361000000,59.4428236808584
562,26.94,6.06,27.06,3.6,464000000,8.8601804020716,364000000,58.4673007028486
564,26.94,6.06,27.18,3.2,452000000,10.383719616407,352000000,62.985491629359
565,26.94,6.06,27.18,3.3,455000000,10.051519536253,355000000,61.903160367888
566,26.94,6.06,27.18,3.4,457000000,9.7282329547579,357000000,60.3275313401299
567,26.94,6.06,27.18,3.5,460000000,9.3909245088086,360000000,59.3419795102396
568,26.94,6.06,27.18,3.6,463000000,9.0318029900142,363000000,58.3732096595472
570,26.94,6.06,27.3,3.2,451000000,10.543377461889,351000000,62.840057693543
571,26.94,6.06,27.3,3.3,454000000,10.212107667344,354000000,61.769543507292
572,26.94,6.06,27.3,3.4,456000000,9.895145558189,356000000,60.233987916333
573,26.94,6.06,27.3,3.5,459000000,9.5601819633408,359000000,59.2576122935838
574,26.94,6.06,27.3,3.6,462000000,9.2017430467491,362000000,58.2952587201411
576,26.94,6.18,26.7,3.2,455000000,9.830767946285,355000000,63.209789287298
577,26.94,6.18,26.7,3.3,458000000,9.4994493347607,358000000,62.0956694138897
578,26.94,6.18,26.7,3.4,461000000,9.1495594532857,361000000,61.0140390010027
579,26.94,6.18,26.7,3.5,464000000,8.7821498167528,364000000,59.9621949647028
580,26.94,6.18,26.7,3.6,466000000,8.4171736305156,366000000,58.3703646619936
582,26.94,6.18,26.82,3.2,454000000,9.994543651542,354000000,62.99687389466
583,26.94,6.18,26.82,3.3,457000000,9.6651310133455,357000000,61.8993628023145
584,26.94,6.18,26.82,3.4,460000000,9.3161986761214,360000000,60.8312881924084
585,26.94,6.18,26.82,3.5,463000000,8.9482974184967,363000000,59.7897388124717
586,26.94,6.18,26.82,3.6,465000000,8.5957860501099,365000000,58.2471975959119
588,26.94,6.18,26.94,3.2,453000000,10.156865259774,353000000,62.811022608618
589,26.94,6.18,26.94,3.3,456000000,9.8292483155022,356000000,61.7284094099472
590,26.94,6.18,26.94,3.4,459000000,9.4812438367595,359000000,60.6724735212185
591,26.94,6.18,26.94,3.5,461000000,9.1233122185879,361000000,59.1058831767299
592,26.94,6.18,26.94,3.6,464000000,8.7721220679582,364000000,58.1429197138462
594,26.94,6.18,27.06,3.2,452000000,10.318006320349,352000000,62.649703324154
595,26.94,6.18,27.06,3.3,455000000,9.9920838767219,355000000,61.5805160981499
596,26.94,6.18,27.06,3.4,458000000,9.6449576944226,358000000,60.5354759993096
597,26.94,6.18,27.06,3.5,460000000,9.2962448964959,360000000,59.0113473819889
598,26.94,6.18,27.06,3.6,463000000,8.946175137585,363000000,58.055725376835
600,26.94,6.18,27.18,3.2,451000000,10.478207497283,351000000,62.510761117822
601,26.94,6.18,27.18,3.3,454000000,10.153907326524,354000000,61.453744695025
602,26.94,6.18,27.18,3.4,457000000,9.8076090820278,357000000,60.4185160835178
603,26.94,6.18,27.18,3.5,459000000,9.4664685880299,359000000,58.9326008636369
604,26.94,6.18,27.18,3.6,462000000,9.1179402687758,362000000,57.9840434509128
606,26.94,6.18,27.3,3.2,450000000,10.637657105653,350000000,62.392322859659
607,26.94,6.18,27.3,3.3,453000000,10.314959553914,353000000,61.346429625838
608,26.94,6.18,27.3,3.4,456000000,9.9694603521142,356000000,60.3200819644852
609,26.94,6.18,27.3,3.5,458000000,9.6339449884226,358000000,58.8681510546226
610,26.94,6.18,27.3,3.6,461000000,9.2873977308483,361000000,57.9264826024333
612,26.94,6.3,26.7,3.2,454000000,9.9116283484887,354000000,62.6455475239107
613,26.94,6.3,26.7,3.3,457000000,9.5871837493949,357000000,61.5601019100909
614,26.94,6.3,26.7,3.4,460000000,9.2440570254807,360000000,60.5040653024987
615,26.94,6.3,26.7,3.5,463000000,8.8827986839039,363000000,59.4746221173079
616,26.94,6.3,26.7,3.6,466000000,8.5054589579596,366000000,58.4708836268596
618,26.94,6.3,26.82,3.2,453000000,10.075624770245,353000000,62.466980695175
619,26.94,6.3,26.82,3.3,456000000,9.7536616884297,356000000,61.3967886653157
620,26.94,6.3,26.82,3.4,459000000,9.412154316179,359000000,60.353290308982
621,26.94,6.3,26.82,3.5,462000000,9.0512004797828,362000000,59.3334684499208
622,26.94,6.3,26.82,3.6,465000000,8.6722192381432,365000000,58.3360135566152
624,26.94,6.3,26.94,3.2,452000000,10.237858592714,352000000,62.312312066424
625,26.94,6.3,26.94,3.3,455000000,9.9183110214907,355000000,61.2559481143257
626,26.94,6.3,26.94,3.4,458000000,9.5784102937561,358000000,60.2237915412611
627,26.94,6.3,26.94,3.5,461000000,9.2178622295884,361000000,59.2126556050164
628,26.94,6.3,26.94,3.6,463000000,8.8411486371377,363000000,57.7293110960207
630,26.94,6.3,27.06,3.2,451000000,10.398511529845,351000000,62.179324363095
631,26.94,6.3,27.06,3.3,454000000,10.081349724734,354000000,61.135586932477
